position,x,value
0.0,1658019179382,1.362231969833374
1.0,1658019180372,1.397626280784607
2.0,1658019181292,1.4627058506011963
3.0,1658019182209,1.500537633895874
4.0,1658019183129,1.6398513317108154
5.0,1658019184049,1.4219746589660645
6.0,1658019184973,1.3096587657928467
7.0,1658019185895,1.5198529958724976
8.0,1658019186817,1.3011837005615234
9.0,1658019187743,1.6346286535263062
10.0,1658019188670,1.6144706010818481
11.0,1658019189591,1.3865829706192017
12.0,1658019190516,1.4729689359664917
13.0,1658019191444,1.3260151147842407
14.0,1658019192368,1.327439785003662
15.0,1658019193289,1.3799357414245605
16.0,1658019194215,1.3269609212875366
17.0,1658019195136,1.3961687088012695
18.0,1658019196064,1.5215317010879517
19.0,1658019196995,1.3883254528045654
20.0,1658019197921,1.417892336845398
21.0,1658019198847,1.3822392225265503
22.0,1658019199772,1.5010167360305786
23.0,1658019200697,1.3933427333831787
24.0,1658019201624,1.5132720470428467
25.0,1658019202549,1.374184250831604
26.0,1658019203475,1.4866580963134766
27.0,1658019204402,1.3755362033843994
28.0,1658019205328,1.332874059677124
29.0,1658019206253,1.4157631397247314
30.0,1658019207180,1.4163548946380615
31.0,1658019208109,1.3086131811141968
32.0,1658019209034,1.4990041255950928
33.0,1658019209960,1.3828446865081787
34.0,1658019210887,1.45979905128479
35.0,1658019211813,1.4095321893692017
36.0,1658019212741,1.6320717334747314
37.0,1658019213677,1.567171335220337
38.0,1658019214607,1.4856648445129395
39.0,1658019215535,1.2402989864349365
40.0,1658019216464,1.360176920890808
41.0,1658019217392,1.6003483533859253
42.0,1658019218325,1.382293701171875
43.0,1658019219256,1.4559290409088135
44.0,1658019220186,1.5233147144317627
45.0,1658019221114,1.422361969947815
46.0,1658019222044,1.519999384880066
47.0,1658019222973,1.6150360107421875
48.0,1658019223912,1.4841002225875854
49.0,1658019224843,1.3144623041152954
50.0,1658019247339,1.237597942352295
51.0,1658019248272,1.2031415700912476
52.0,1658019249200,1.471103549003601
53.0,1658019250134,1.4181015491485596
54.0,1658019251063,1.3471789360046387
55.0,1658019251990,1.49599289894104
56.0,1658019252923,1.3749840259552002
57.0,1658019253858,1.5819506645202637
58.0,1658019254799,1.577584981918335
59.0,1658019255727,1.319144368171692
60.0,1658019256656,1.5347857475280762
61.0,1658019257584,1.4186673164367676
62.0,1658019258512,1.4533277750015259
63.0,1658019259441,1.2979159355163574
64.0,1658019260370,1.3620038032531738
65.0,1658019261307,1.3200427293777466
66.0,1658019262237,1.2907030582427979
67.0,1658019263167,1.4681427478790283
68.0,1658019264102,1.5250248908996582
69.0,1658019265036,1.4620380401611328
70.0,1658019265965,1.3247849941253662
71.0,1658019266897,1.2765859365463257
72.0,1658019267828,1.1902122497558594
73.0,1658019268764,1.5387303829193115
74.0,1658019269701,1.3426660299301147
75.0,1658019270631,1.4972376823425293
